name,n_vars,n_clauses,CV,Skew,k_P95,k_P95_n,CV_ablated,Skew_ablated,CV_drop_pct,significant
3blocks.cnf,283,9690,0.2853923627387728,-0.36916259895844555,7,0.024734982332155476,0.10182868907116464,0.020400724726592278,64.31975680990062,True
bmc-ibm-2.cnf,2810,11683,1.106414792318808,6.8390379067256735,133,0.047330960854092524,0.33207295620715704,0.3693978363019625,69.98657659744376,True
bf2670-001.cnf,1393,3434,0.8551624921223687,7.461939890750286,67,0.04809763101220388,0.42330400165058835,0.4128073265965647,50.500167447707,True
bmc-ibm-12.cnf,39598,194778,1.7153155547426995,12.798348071441435,1973,0.049825748775190665,0.2988244264470421,0.31928504073746555,82.57904059571905,True
bmc-ibm-1.cnf,9685,55870,1.0231091226911522,3.0807770206476404,480,0.0495611770779556,0.2821755163217307,0.3069432973067043,72.41980253489425,True
bmc-galileo-9.cnf,63624,326999,4.52151415085825,37.39027733129925,3175,0.049902552495913494,0.29692602464097406,0.3137269837087918,93.43304002300616,True
ssa0432-003.cnf,435,1027,0.6997628406899201,8.370986299630733,20,0.04597701149425287,0.43928511496967965,0.45390538574726846,37.223715032285305,True
4blocks.cnf,758,47820,0.30003171197382084,0.860868109394801,23,0.030343007915567283,0.07606469466498894,0.09629423879450036,74.64778167461647,True
bmc-ibm-6.cnf,51639,368352,1.5903555107027056,10.940270986846077,2503,0.04847111679157226,0.25567071567780975,0.2672637633022652,83.92367530673437,True
2bitadd_11.cnf,649,1562,1.1938650637965007,1.1817309874018944,22,0.03389830508474576,0.4219934018624774,0.44611405855888275,64.65317441147538,True
e0ddr2-10-by-5-1.cnf,19500,103887,1.5901102125502564,4.715161904819241,490,0.025128205128205128,0.2650398358800372,0.27245229010632843,83.33198329347499,True
ewddr2-10-by-5-8.cnf,22500,123329,1.705553901624078,5.337652328717821,498,0.022133333333333335,0.26092868553400556,0.2658645322058043,84.7012348724047,True
enddr2-10-by-5-8.cnf,21000,113729,1.6487975481654535,5.035853672408743,494,0.023523809523809523,0.262616070971987,0.26723774505280873,84.07226701275796,True
bmc-ibm-4.cnf,28161,139716,1.310366392654053,15.962286484302007,1399,0.04967863357125102,0.3017811198561119,0.332968448627465,76.96971461204252,True
4blocksb.cnf,410,24758,0.33641723972209964,0.6099865294032288,11,0.026829268292682926,0.07743400733908073,0.16114026718017835,76.98274695938717,True
bmc-ibm-5.cnf,9396,41207,2.7300280819080256,27.761464062326127,460,0.04895700297999148,0.3208947860272543,0.3291274146444939,88.24573314267961,True
bmc-galileo-8.cnf,58074,294821,4.578870395272783,37.50228037200102,2887,0.0497124358576988,0.29849523193199073,0.31440915115790424,93.48102902759256,True
bmc-ibm-13.cnf,13215,65728,1.0538123208815628,4.850138172298098,467,0.03533863034430571,0.3003770653133555,0.32434843165772187,71.49615169975654,True
3bitadd_32.cnf,8704,32316,2.285045091192968,3.820828314331499,384,0.04411764705882353,0.34802645717835057,0.38289768016958386,84.76938339117613,True
bf1355-638.cnf,2177,6768,0.43531918456110563,1.8575053713414482,99,0.045475424896646764,0.36524977085540095,0.35811780917102254,16.096100560408235,True
bmc-ibm-10.cnf,59056,323700,1.824426681091471,23.766050717025657,2784,0.047141696017339474,0.2889095251546637,0.3065250652386056,84.16436636511902,True
ssa7552-159.cnf,1363,3032,2.0929463779261246,24.226696830065993,35,0.025678650036683785,0.45533977646266094,0.4456877685099384,78.24407823989013,True
2bitadd_10.cnf,590,1422,1.192277448944034,1.1779351847485258,20,0.03389830508474576,0.4191103825479295,0.483755569433532,64.84791497825246,True
2bitmax_6.cnf,252,766,0.7993168008989,0.5542191356835126,0,0.0,0.3925095182627067,0.4463399533193627,50.89437406779187,True
ssa7552-160.cnf,1391,3126,2.0521030869434003,24.413254480051425,39,0.028037383177570093,0.4517536323409238,0.4553942031973944,77.98582170577946,True
ssa7552-158.cnf,1363,3034,2.0915946459630494,24.224783266854477,35,0.025678650036683785,0.45840929212744835,0.5076545343138418,78.08326326459975,True
ssa2670-141.cnf,986,2315,1.0324760241295934,7.029927054479307,47,0.04766734279918864,0.43986842622398764,0.4186694620433289,57.396741818309124,True
bf0432-007.cnf,1040,3668,0.5447179670442459,4.119588433929019,52,0.05,0.3413745376198078,0.36890503899920823,37.33003897922117,True
enddr2-10-by-5-1.cnf,20700,111567,1.636867439624044,4.972616277017665,491,0.023719806763285025,0.26361992867490225,0.2763935979107998,83.89485169700423,True
bmc-ibm-11.cnf,32109,150027,1.4457193971149114,12.778170496725874,1590,0.04951882649724376,0.3066951519657609,0.33248739333820915,78.78598346416294,True
2bitcomp_5.cnf,125,310,0.6404058611642526,-0.22610762871959894,5,0.04,0.4105538771751383,0.388793337606307,35.891611543224364,True
bf1355-075.cnf,2180,6778,0.43316552520414453,1.763634884267344,96,0.044036697247706424,0.3682997959119116,0.39568807325928035,14.974813441504303,True
bmc-ibm-7.cnf,8710,39774,1.1328656029379485,9.727467529786692,403,0.04626865671641791,0.31560770878709243,0.31907671196342846,72.14076339076742,True
ssa7552-038.cnf,1501,3575,1.8814771603246694,24.581654406878727,70,0.046635576282478344,0.43546016762607415,0.45750895881125536,76.8554103760191,True
ssa6288-047.cnf,10410,34238,0.3621627507386906,0.7939151467147781,204,0.019596541786743516,0.35479631904515424,0.3652657999786578,2.034011415727127,True
ewddr2-10-by-5-1.cnf,21800,118607,1.6788584595767904,5.198140602904971,494,0.022660550458715595,0.2623558967502829,0.27488925625825383,84.37295918225185,True
e0ddr2-10-by-5-4.cnf,19500,104527,1.591278303512256,4.721203641212133,490,0.025128205128205128,0.2645844511089073,0.27841008391785416,83.37283613275449,True
3bitadd_31.cnf,8432,31310,2.2847596444882114,3.8206791475851793,372,0.04411764705882353,0.3491734773278166,0.37860220464377503,84.71727745322498,True
2bitadd_12.cnf,708,1702,1.1951936283814661,1.1848893986423392,24,0.03389830508474576,0.42355699660682494,0.4116443874120529,64.5616420177535,True
bmc-ibm-3.cnf,14930,72106,1.0508305676647396,6.201753589262065,681,0.045612860013395845,0.30219974098609514,0.3227529095378454,71.2418204908453,True
ssa2670-130.cnf,1359,3321,0.8666111988271111,7.569906357891653,62,0.04562178072111847,0.4325013282129316,0.4744966427626413,50.09280646288814,True
